,PCECTPI
3/1/1960,0.518638646
6/1/1960,2.067855978
9/1/1960,1.518223702
12/1/1960,1.74269881
3/1/1961,0.740906545
6/1/1961,-0.025525669
9/1/1961,1.426934881
12/1/1961,0.432171385
3/1/1962,1.724031318
6/1/1962,1.41423217
9/1/1962,1.082544639
12/1/1962,1.204971415
3/1/1963,1.151368044
6/1/1963,0.62435626
9/1/1963,1.941751386
12/1/1963,1.462524481
3/1/1964,1.90071017
6/1/1964,0.860982467
9/1/1964,1.300255676
12/1/1964,1.320456022
3/1/1965,1.29177823
6/1/1965,2.038839366
9/1/1965,1.474099237
12/1/1965,1.228287686
3/1/1966,3.090113281
6/1/1966,3.232148773
9/1/1966,3.041839754
12/1/1966,3.088818438
3/1/1967,1.140563489
6/1/1967,1.901452856
9/1/1967,3.707248135
12/1/1967,3.423310676
3/1/1968,4.227102717
6/1/1968,4.071623523
9/1/1968,4.118725495
12/1/1968,4.403714203
3/1/1969,3.859736133
6/1/1969,5.060644321
9/1/1969,4.871135541
12/1/1969,4.583677816
3/1/1970,4.614043143
6/1/1970,4.398683817
9/1/1970,3.887653989
12/1/1970,5.145344853
3/1/1971,3.781551168
6/1/1971,4.526242912
9/1/1971,3.916467719
12/1/1971,2.462019698
3/1/1972,4.19650964
6/1/1972,2.308317271
9/1/1972,3.493800094
12/1/1972,3.240995612
3/1/1973,4.812781352
6/1/1973,7.60717356
9/1/1973,7.217999772
12/1/1973,8.095212584
3/1/1974,11.7344477
6/1/1974,11.17122533
9/1/1974,10.64493108
12/1/1974,10.04315767
3/1/1975,7.45788225
6/1/1975,4.875708625
9/1/1975,7.425568295
12/1/1975,6.651437003
3/1/1976,4.378419166
6/1/1976,3.334604904
9/1/1976,6.025786715
12/1/1976,6.26819248
3/1/1977,7.16371639
6/1/1977,6.784158313
9/1/1977,5.974709104
12/1/1977,5.640516496
3/1/1978,6.507135947
6/1/1978,8.131593163
9/1/1978,6.963593146
12/1/1978,7.483904783
3/1/1979,7.464797205
6/1/1979,10.78685573
9/1/1979,9.80736861
12/1/1979,9.561677359
3/1/1980,11.82852825
6/1/1980,9.673010144
9/1/1980,9.25158165
12/1/1980,9.776903871
3/1/1981,10.24015199
6/1/1981,6.652282433
9/1/1981,6.543457645
12/1/1981,6.079073837
3/1/1982,5.05235191
6/1/1982,3.828906483
9/1/1982,6.26569987
12/1/1982,4.392353184
3/1/1983,3.293350045
6/1/1983,3.637333455
9/1/1983,5.224578055
12/1/1983,2.629189119
3/1/1984,4.304913961
6/1/1984,3.853425971
9/1/1984,3.077604679
12/1/1984,2.45821816
3/1/1985,4.693993568
6/1/1985,3.224494539
9/1/1985,3.127197277
12/1/1985,2.779521207
3/1/1986,2.82303231
6/1/1986,-0.423363426
9/1/1986,2.112350395
12/1/1986,2.411614135
3/1/1987,3.767131304
6/1/1987,3.846146718
9/1/1987,3.771826558
12/1/1987,3.437749857
3/1/1988,3.149007079
6/1/1988,4.395243426
9/1/1988,4.898466684
12/1/1988,4.022380264
3/1/1989,4.571315319
6/1/1989,5.35313501
9/1/1989,2.350957699
12/1/1989,3.131673801
3/1/1990,5.755593573
6/1/1990,3.616318269
9/1/1990,5.051147343
12/1/1990,5.257621015
3/1/1991,2.096921679
6/1/1991,2.177000273
9/1/1991,2.707921914
12/1/1991,2.894880678
3/1/1992,2.498430634
6/1/1992,2.647481631
9/1/1992,2.542054019
12/1/1992,2.78209684
3/1/1993,2.378217122
6/1/1993,2.678740244
9/1/1993,1.728847795
12/1/1993,2.30170661
3/1/1994,1.431869736
6/1/1994,2.225951354
9/1/1994,2.856724512
12/1/1994,1.875279596
3/1/1995,1.949812681
6/1/1995,2.324932779
9/1/1995,1.628873402
12/1/1995,1.75715964
3/1/1996,2.216266534
6/1/1996,2.667742098
9/1/1996,1.69944908
12/1/1996,2.71908495
3/1/1997,1.760681962
6/1/1997,1.00263529
9/1/1997,1.051204162
12/1/1997,1.257809221
3/1/1998,0.028283543
6/1/1998,0.7233786
9/1/1998,1.234629781
12/1/1998,1.051219415
3/1/1999,0.790807821
6/1/1999,2.268384273
9/1/1999,2.194648077
12/1/1999,2.419562688
3/1/2000,3.236263608
6/1/2000,1.902079381
9/1/2000,2.568940474
12/1/2000,2.251827471
3/1/2001,2.954412917
6/1/2001,1.867335062
9/1/2001,0.201639653
12/1/2001,0.164420255
3/1/2002,0.805212965
6/1/2002,2.957918692
9/1/2002,2.064399018
12/1/2002,1.861377882
3/1/2003,3.047041551
6/1/2003,0.402461239
9/1/2003,2.626667967
12/1/2003,1.962567024
3/1/2004,3.072660314
6/1/2004,2.682543334
9/1/2004,1.960161587
12/1/2004,3.406098239
3/1/2005,2.318818412
6/1/2005,2.516164279
9/1/2005,4.297711003
12/1/2005,3.17161225
3/1/2006,2.071822868
6/1/2006,3.495759736
9/1/2006,2.868005459
12/1/2006,-0.659661837
3/1/2007,3.638117077
6/1/2007,3.38296931
9/1/2007,2.254880752
12/1/2007,4.043448411
3/1/2008,3.24359252
6/1/2008,3.876727948
9/1/2008,4.243173111
12/1/2008,-6.435821118
3/1/2009,-2.712457134
6/1/2009,1.58901931
9/1/2009,2.746614121
12/1/2009,3.075356543
3/1/2010,1.542164159
6/1/2010,0.620519366
9/1/2010,0.765457323
12/1/2010,2.555637687
3/1/2011,3.3460188
6/1/2011,3.913929793
9/1/2011,1.84610747
12/1/2011,1.32017565
3/1/2012,2.640104696
6/1/2012,0.96383031
9/1/2012,1.160304864
12/1/2012,2.239083229
3/1/2013,1.397802928
6/1/2013,0.205271072
9/1/2013,1.642558301
12/1/2013,1.469648553
3/1/2014,1.832602324
6/1/2014,1.78718213
9/1/2014,1.089846091
12/1/2014,-0.530157943
