,PCECTPI,OILPRICEx,FEDFUNDS ,GS10,GS10TB3Mx,AAAFFM,M2REAL,TOTALSLx ,UMCSENTx ,CUMFNS ,GDPC1,PCECC96 ,INDPRO,UNRATE ,PAYEMS ,HOUST
3/1/1960,0.518638646,-1.263252004,3.9333,4.4867,0.61,0.62,1.644022213,8.480716989,100,84.4715,8.8948734,3.808414888,23.4190072,5.1333,5.117098948,-28.4345171
6/1/1960,2.067855978,-1.513477188,3.6967,4.26,1.27,0.7567,0.891485128,9.689615871,93.3,81.318,-2.159246584,5.014097303,-8.775010579,5.2333,0.966724468,-26.91711092
9/1/1960,1.518223702,-1.56437548,2.9367,3.8333,1.47,1.3767,6.842669612,5.291489605,97.2,78.8989,1.954939929,-1.602116956,-6.632263806,5.5333,-2.036513295,-18.16294793
12/1/1960,1.74269881,-1.309414733,2.2967,3.8867,1.58,2.0233,3.23109748,4.232580358,90.1,75.8523,-5.16573753,0.517706737,-9.759774046,6.2667,-2.365631415,-9.231617731
3/1/1961,0.740906545,-0.682247696,2.0033,3.7867,1.44,2.2667,6.045455124,3.55031605,91.6,73.8284,2.690999685,-0.14857063,-6.102255216,6.8,-2.344899015,18.25494369
6/1/1961,-0.025525669,-1.309457664,1.7333,3.79,1.49,2.55,7.439814453,-3.183696594,92.5,76.3543,6.734408913,5.908876974,15.55122286,7,1.218783091,5.869140911
9/1/1961,1.426934881,-1.735945041,1.6833,3.98,1.68,2.7533,5.127948613,1.150846315,99.2,78.4144,7.608637951,1.940280525,12.56255674,6.7667,3.501575417,30.58034605
12/1/1961,0.432171385,-0.957008661,2.4,3.9733,1.51,2.01,6.408855453,6.142102033,93,80.6409,7.770707415,7.966026573,13.78673851,6.2,3.247046902,8.640044686
3/1/1962,1.724031318,-1.475963988,2.4567,4.0167,1.29,1.9533,6.626481244,4.729751979,99.9,81.1862,7.071770338,4.214751384,5.930793568,5.6333,2.957311112,-8.05166509
6/1/1962,1.41423217,-1.538602725,2.6067,3.8733,1.16,1.69,6.8781667,10.10286089,95.4,81.3356,3.602744037,4.88752426,3.857430454,5.5333,3.660162793,31.00572383
9/1/1962,1.082544639,-1.312812655,2.8467,3.99,1.15,1.49,5.02483263,7.678932505,91.6,81.5601,4.888275567,3.210754419,4.243200692,5.5667,1.645757922,-11.0326463
