date,gdp_growth,gdp_growth_lag1,macro_unc_h1_lag1
1960Q4,-5.165738,1.954940,0.615514
1961Q1,2.691000,-5.165738,0.659006
1961Q2,6.734409,2.691000,0.666382
1961Q3,7.608638,6.734409,0.652680
1961Q4,7.770707,7.608638,0.622788
1962Q1,7.071770,7.770707,0.609888
1962Q2,3.602744,7.071770,0.599798
1962Q3,4.888276,3.602744,0.587479
1962Q4,1.315442,4.888276,0.564003
1963Q1,4.344681,1.315442,0.554480
1963Q2,4.464648,4.344681,0.543269
1963Q3,8.700021,4.464648,0.536649
1963Q4,2.615052,8.700021,0.532929
1964Q1,8.347152,2.615052,0.538471
1964Q2,4.332723,8.347152,0.547909
1964Q3,6.202075,4.332723,0.534615
1964Q4,1.234856,6.202075,0.556968
1965Q1,9.564369,1.234856,0.626398
1965Q2,5.022223,9.564369,0.565974
1965Q3,8.795234,5.022223,0.545096
1965Q4,9.111050,8.795234,0.551123
1966Q1,9.618758,9.111050,0.551811
1966Q2,1.363555,9.618758,0.571323
1966Q3,3.373068,1.363555,0.592868
1966Q4,3.268226,3.373068,0.597612
1967Q1,3.527573,3.268226,0.603841
1967Q2,0.245331,3.527573,0.609346
1967Q3,3.766515,0.245331,0.599545
1967Q4,3.004104,3.766515,0.616115
1968Q1,8.075025,3.004104,0.634953
1968Q2,6.626303,8.075025,0.639396
1968Q3,3.086138,6.626303,0.603716
1968Q4,1.568019,3.086138,0.583120
1969Q1,6.209278,1.568019,0.592366
1969Q2,1.211579,6.209278,0.600068
1969Q3,2.631137,1.211579,0.620039
1969Q4,-1.957619,2.631137,0.626112
1970Q1,-0.596011,-1.957619,0.636822
1970Q2,0.566472,-0.596011,0.665434
1970Q3,3.668991,0.566472,0.667655
1970Q4,-4.309423,3.668991,0.668458
1971Q1,10.719666,-4.309423,0.724694
1971Q2,2.157438,10.719666,0.662240
1971Q3,3.276333,2.157438,0.625037
1971Q4,0.938357,3.276333,0.637209
1972Q1,7.282172,0.938357,0.625220
1972Q2,8.975689,7.282172,0.617986
1972Q3,3.758644,8.975689,0.587166
1972Q4,6.642287,3.758644,0.623877
1973Q1,9.779245,6.642287,0.645185
1973Q2,4.331437,9.779245,0.675762
1973Q3,-2.108903,4.331437,0.693194
1973Q4,3.779016,-2.108903,0.777588
1974Q1,-3.453688,3.779016,0.786795
1974Q2,0.949660,-3.453688,0.780163
1974Q3,-3.799094,0.949660,0.777303
1974Q4,-1.556648,-3.799094,0.804200
1975Q1,-4.900433,-1.556648,0.862878
1975Q2,2.848637,-4.900433,0.835990
1975Q3,6.790217,2.848637,0.771585
1975Q4,5.352401,6.790217,0.721399
1976Q1,8.898161,5.352401,0.659192
1976Q2,2.922792,8.898161,0.639217
1976Q3,2.183659,2.922792,0.609307
1976Q4,2.880021,2.183659,0.597262
1977Q1,4.717010,2.880021,0.628959
1977Q2,7.693235,4.717010,0.634654
1977Q3,7.148403,7.693235,0.577126
1977Q4,0.007971,7.148403,0.571917
1978Q1,1.277327,0.007971,0.604997
1978Q2,15.167842,1.277327,0.648317
1978Q3,4.002899,15.167842,0.616679
1978Q4,5.340689,4.002899,0.599793
1979Q1,0.717731,5.340689,0.614818
1979Q2,0.426753,0.717731,0.666856
1979Q3,2.960238,0.426753,0.725289
1979Q4,0.998932,2.960238,0.728421
1980Q1,1.256310,0.998932,0.765844
1980Q2,-8.327832,1.256310,0.869251
1980Q3,-0.475702,-8.327832,0.956855
1980Q4,7.390987,-0.475702,0.906608
1981Q1,7.761891,7.390987,0.856596
1981Q2,-2.975341,7.761891,0.841349
1981Q3,4.761555,-2.975341,0.840194
1981Q4,-4.382305,4.761555,0.837010
1982Q1,-6.263361,-4.382305,0.851003
1982Q2,1.820559,-6.263361,0.880026
1982Q3,-1.531997,1.820559,0.826002
1982Q4,0.160003,-1.531997,0.793985
1983Q1,5.236732,0.160003,0.769789
1983Q2,9.000066,5.236732,0.747493
1983Q3,7.916951,9.000066,0.687944
1983Q4,8.258879,7.916951,0.658685
1984Q1,7.743719,8.258879,0.627083
1984Q2,6.852022,7.743719,0.632959
1984Q3,3.837572,6.852022,0.612103
1984Q4,3.269692,3.837572,0.621914
1985Q1,3.857259,3.269692,0.626850
1985Q2,3.506480,3.857259,0.630524
1985Q3,6.062904,3.506480,0.624477
1985Q4,2.962797,6.062904,0.610122
1986Q1,3.717661,2.962797,0.632685
1986Q2,1.797142,3.717661,0.680193
1986Q3,3.808484,1.797142,0.670087
1986Q4,2.139838,3.808484,0.651665
1987Q1,2.956427,2.139838,0.659871
1987Q2,4.289627,2.956427,0.666786
1987Q3,3.453759,4.289627,0.610647
1987Q4,6.809535,3.453759,0.605075
1988Q1,2.062205,6.809535,0.631692
1988Q2,5.221895,2.062205,0.608608
1988Q3,2.337038,5.221895,0.577315
1988Q4,5.294628,2.337038,0.569982
1989Q1,4.045058,5.294628,0.580725
1989Q2,3.040811,4.045058,0.624670
1989Q3,2.952023,3.040811,0.627030
1989Q4,0.787149,2.952023,0.628879
1990Q1,4.347813,0.787149,0.628994
1990Q2,1.449252,4.347813,0.673082
1990Q3,0.266238,1.449252,0.646776
1990Q4,-3.658296,0.266238,0.655705
1991Q1,-1.876156,-3.658296,0.676202
1991Q2,3.106661,-1.876156,0.667799
1991Q3,2.016344,3.106661,0.624557
1991Q4,1.391755,2.016344,0.585900
1992Q1,4.760567,1.391755,0.572984
1992Q2,4.313867,4.760567,0.578322
1992Q3,3.933041,4.313867,0.566545
1992Q4,4.149821,3.933041,0.570611
1993Q1,0.667218,4.149821,0.578479
1993Q2,2.321932,0.667218,0.570749
1993Q3,1.904080,2.321932,0.549380
1993Q4,5.403929,1.904080,0.533472
1994Q1,3.862741,5.403929,0.552690
1994Q2,5.384329,3.862741,0.572693
1994Q3,2.331530,5.384329,0.550925
1994Q4,4.556233,2.331530,0.545759
1995Q1,1.416611,4.556233,0.546757
1995Q2,1.191515,1.416611,0.559260
1995Q3,3.388509,1.191515,0.562737
1995Q4,2.707147,3.388509,0.555164
1996Q1,2.985035,2.707147,0.565506
1996Q2,6.616747,2.985035,0.601938
1996Q3,3.572137,6.616747,0.563621
1996Q4,4.132062,3.572137,0.545956
