date,doilprod,igrea,rpoil
1973-02-01,11.877264,29.223341,-249.143957
1973-03-01,1.419150,38.340425,-250.069890
1973-04-01,1.177711,42.741622,-250.758756
1973-05-01,27.455136,50.019002,-251.215378
1973-06-01,-13.110436,57.478446,-251.896424
1973-07-01,36.258073,58.945740,-251.896424
1973-08-01,-14.084422,69.465967,-234.572459
1973-09-01,20.836550,80.895531,-235.015918
1973-10-01,-23.715772,106.819960,-235.896981
1973-11-01,-59.708188,103.851190,-236.552721
1973-12-01,9.121300,113.858010,-237.420406
1974-01-01,26.176654,105.390450,-153.235817
1974-02-01,10.102647,88.451221,-154.298526
1974-03-01,9.230979,98.038150,-155.350061
1974-04-01,15.544122,86.064374,-155.975714
1974-05-01,3.545798,103.822690,-157.009850
1974-06-01,-8.852559,82.154747,-157.829527
1974-07-01,-23.292599,61.853529,-158.439905
1974-08-01,-31.902449,58.489377,-159.649597
1974-09-01,11.852437,60.239114,-161.042654
1974-10-01,3.757718,61.394749,-151.948968
1974-11-01,1.634863,58.810828,-152.924585
1974-12-01,-10.765544,21.648940,-153.698283
1975-01-01,-48.806907,-0.914310,-154.466041
1975-02-01,-23.393275,-9.860692,-155.038016
1975-03-01,-1.915627,-26.662498,-155.417523
1975-04-01,-8.917438,-41.414902,-155.795596
1975-05-01,5.522545,-44.079360,-155.984097
1975-06-01,29.962196,-36.933297,-156.734570
1975-07-01,31.172343,-41.916203,-157.664809
1975-08-01,25.594092,-45.627653,-158.034495
1975-09-01,37.025790,-34.417278,-158.769793
1975-10-01,-118.887494,-34.007338,-159.317739
1975-11-01,41.380641,-24.108645,-160.043695
1975-12-01,16.223125,-35.730104,-160.584724
1976-01-01,-17.554891,-46.034326,-160.943791
1976-02-01,31.913337,-50.292748,-153.616085
1976-03-01,29.585541,-32.562776,-153.214624
1976-04-01,-22.131420,-28.973323,-152.816191
1976-05-01,5.125184,-19.378746,-153.349525
1976-06-01,38.757941,-16.249763,-153.880030
1976-07-01,7.205715,-21.558636,-154.407736
1976-08-01,8.473668,-24.042086,-154.932672
1976-09-01,18.511911,-24.774272,-142.163373
1976-10-01,36.208383,-20.862697,-142.682854
1976-11-01,11.154960,-19.432734,-143.027682
1976-12-01,29.306982,-35.834065,-143.542705
1977-01-01,-113.329475,-49.215262,-144.055089
1977-02-01,77.983205,-45.125576,-145.072047
1977-03-01,9.754309,-45.462834,-145.576673
1977-04-01,-18.950365,-43.583299,-146.245572
1977-05-01,-38.987625,-35.834978,-146.578351
1977-06-01,18.314101,-40.609887,-147.075452
1977-07-01,-23.143414,-44.405716,-147.570095
1977-08-01,16.960978,-47.111620,-141.451200
1977-09-01,24.920395,-47.271050,-141.777998
1977-10-01,-2.558935,-33.041125,-142.266201
1977-11-01,22.836310,-33.521008,-142.913452
1977-12-01,24.046875,-38.092305,-143.396156
1978-01-01,-113.881538,-38.564939,-144.036158
1978-02-01,31.392494,-38.874898,-144.513486
1978-03-01,10.447789,-39.340443,-145.146400
